Dataset,Model,Metric,Score
adult,RF,Accuracy,0.8552195526097763
adult,LR,Accuracy,0.8162800331400166
adult,NN,Accuracy,0.8409279204639603
travel,RF,Accuracy,0.8321678321678322
travel,LR,Accuracy,0.7972027972027972
travel,NN,Accuracy,0.8251748251748252
us_location,RF,Accuracy,0.9911151960784313
us_location,LR,Accuracy,0.5186887254901961
us_location,NN,Accuracy,0.9761029411764706
bejing,RF,MAPE,0.5012995526050515
bejing,LR,MAPE,1.2771955751556874
bejing,NN,MAPE,0.7487943154167621
california_housing,RF,MAPE,0.21460003493356805
california_housing,LR,MAPE,0.34810420147491133
california_housing,NN,MAPE,0.2643715214998295
seattle_housing,RF,MAPE,0.586582429234029
seattle_housing,LR,MAPE,0.3101636561238964
seattle_housing,NN,MAPE,0.38431425886254783
