State,Name,Total,Invalid,Violation_Rate
CO,Colorado,244,2,0.819672131147541
AZ,Arizona,221,3,1.3574660633484164
UT,Utah,359,5,1.392757660167131
PA,Pennsylvania,562,11,1.9572953736654803
NM,New Mexico,263,6,2.2813688212927756
WY,Wyoming,428,11,2.570093457943925
OR,Oregon,311,8,2.572347266881029
MT,Montana,424,13,3.0660377358490565
TN,Tennessee,260,8,3.076923076923077
IA,Iowa,323,10,3.0959752321981426
OK,Oklahoma,161,5,3.1055900621118013
MO,Missouri,235,9,3.829787234042553
GA,Georgia,207,8,3.864734299516908
NV,Nevada,292,12,4.10958904109589
WA,Washington,426,19,4.460093896713615
AL,Alabama,410,20,4.878048780487805
ID,Idaho,342,17,4.970760233918129
AR,Arkansas,335,17,5.074626865671641
MS,Mississippi,516,29,5.62015503875969
OH,Ohio,288,19,6.597222222222222
ND,North Dakota,513,34,6.627680311890838
IL,Illinois,284,19,6.690140845070422
DC,District of Columbia,334,23,6.88622754491018
CT,Connecticut,274,20,7.2992700729927
NE,Nebraska,452,33,7.300884955752212
KY,Kentucky,258,20,7.751937984496124
FL,Florida,391,32,8.184143222506394
VA,Virginia,230,20,8.695652173913043
MN,Minnesota,218,19,8.715596330275229
KS,Kansas,603,55,9.12106135986733
NY,New York,150,14,9.333333333333334
LA,Louisiana,245,23,9.387755102040817
WI,Wisconsin,177,17,9.6045197740113
AK,Alaska,370,36,9.72972972972973
NC,North Carolina,312,31,9.935897435897436
IN,Indiana,429,43,10.023310023310025
NJ,New Jersey,284,29,10.211267605633804
RI,Rhode Island,234,24,10.256410256410255
DE,Delaware,340,35,10.294117647058822
NH,New Hampshire,346,36,10.404624277456648
SC,South Carolina,176,19,10.795454545454545
ME,Maine,334,37,11.077844311377245
SD,South Dakota,382,44,11.518324607329843
VT,Vermont,259,30,11.583011583011583
TX,Texas,164,19,11.585365853658537
MA,Massachusetts,391,50,12.787723785166241
MI,Michigan,173,23,13.294797687861271
WV,West Virginia,584,86,14.726027397260275
MD,Maryland,224,35,15.625
HI,Hawaii,264,46,17.424242424242426
CA,California,317,57,17.981072555205046
